nama,sinta_id,dept,sinta_score,sinta_3yr_score,scopus_h_index,gs_h_index
YULIANETA,6122021,Pendidikan Bahasa Indonesia Bagi Penutur Asing (S2),492,237,1,6
EKI NUGRAHA,6111743,Pendidikan Ilmu Komputer (S1),552,234,4,5
WANJAT KASTOLANI,258204,Pendidikan Geografi (S2),634,234,2,8
ACENG KOSASIH,5976354,Pendidikan Umum dan Karakter (S3),543,233,2,9
TRIANA LESTARI,6006681,PGSD Kampus Cibiru (S1),359,220,0,7
RINI SOLIHAT,6005021,Pendidikan Biologi (S1),428,219,2,6
WAWAN DARMAWAN,5992655,Pendidikan Sejarah (S3),447,219,2,6
EKA FITRAJAYA RAHMAN,6038107,Pendidikan Ilmu Komputer (S1),533,219,5,6
IMAS KURNIAWATY,6146729,Manajemen Pemasaran Pariwisata (S1),294,218,1,8
SUMAR HENDAYANA,5994178,Unknown,1.114,218,9,17
YAYAT SUDARYAT,5987640,Pendidikan Bahasa dan Budaya Sunda (S2),905,218,2,11
ENJANG YUSUP ALI,6749656,PGSD Kampus Sumedang (S1),221,217,1,2
ENDAH FITRIYANI,6681704,Pendidikan Pariwisata (S1),224,217,0,4
WIDI PURWIANINGSIH,6004348,Pendidikan Biologi (S2),764,215,4,9
ANA,5994248,Pendidikan Kesejahteraan Keluarga (S1),1.825,710,7,12
JULIA,5975686,PGSD Kampus Sumedang (S1),1.954,703,8,14
RATIH HURRIYATI,5984336,Manajemen (S3),2.573,702,8,19
SUFYANI PRABAWANTO,5995121,Pendidikan Matematika (S2),2.450,702,7,16
AGUS SETIAWAN,259466,Pendidikan Teknik Mesin (S1),3.036,697,13,21
DADI RUSDIANA,5974813,Pendidikan Fisika (S2),2.716,694,11,21
DIDI SURYADI,5994183,Pendidikan Matematika (S3),2.912,656,8,28
SITI FATIMAH,5978161,Pendidikan Matematika (S2),1.933,649,7,12
DIAN PERMATA SARI,6160445,Pendidikan Sistem dan Teknologi Informasi Kampus P (S1),937,645,5,3
IDA KANIAWATI,6005868,Pendidikan Ilmu Pengetahuan Alam (S3),2.738,643,12,27
DIAH KUSUMAWATY,6005459,Biologi (S1),543,249,5,7
"DR. M. SOLEHUDDIN, M.PD., M.A.",5995348,Bimbingan Dan Konseling (S3),649,248,3,9
NURIA HARISTIANI,5994096,Pendidikan Bahasa Jepang (S2),869,246,7,8
SALSA SOLLI NAFSIKA,6778100,Film dan Televisi (S1),317,244,0,7
NANANG WINARNO,6079273,Pendidikan IPA (S1),714,243,3,11
SITI KOMARIAH,5976333,Pendidikan Sosiologi (S2),544,242,1,8
CUCUN SUNAENGSIH,5993226,PGSD Kampus Sumedang (S1),733,242,2,9
CICA YULIA,5995421,Pendidikan Tata Boga (S1),680,242,4,9
FARAH AYUNDA YASMIN,6739238,Unknown,946,242,0,23
SYAMSU YUSUF LN,5991749,Unknown,891,240,2,33
DEWI TURGARINI,6681270,Manajemen Industri Katering (S1),388,233,0,6
ASEP SAEPUDIN,5994652,Pendidikan Masyarakat (S3),559,233,0,13
AGUS HERI SETYA BUDI,6003446,Teknik Elektro (S1),485,233,3,4
NANDANG RUSMANA,5995335,Bimbingan Dan Konseling (S3),603,233,2,11
MAYA SARI,5984857,Manajemen (S3),470,233,2,10
SANDIE GUNARA,5977160,Pendidikan Seni Musik (S1),358,233,2,7
USEP KUSWARI,5987461,Pendidikan Bahasa dan Budaya Sunda (S2),446,232,1,4
